Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,PDF,cit/year
25,"CO Justice, E Vermote, JRG Townshend…",The Moderate Resolution Imaging Spectroradiometer (MODIS): Land remote sensing for global change research,2127,1998, ieeexplore.ieee.org, … and remote sensing,"… capability for terrestrial satellite remote sensing aimed at … the surface reflectance, the data 
product contains the following … , influencing the surface energy budget through the latent …",https://ieeexplore.ieee.org/abstract/document/701075/,https://ieeexplore.ieee.org/iel4/36/15154/00701075.pdf,73
28,"G Chander, B Markham",Revised Landsat-5 TM radiometric calibration procedures and postcalibration dynamic ranges,2005,2003, ieeexplore.ieee.org, … on geoscience and remote sensing,"… earth’s environment and its global energy balance depends on satellite sensors that can 
provide … Over the lifetime of L5, there have been three US data product generation systems. The …",https://ieeexplore.ieee.org/abstract/document/1245255/,https://ieeexplore.ieee.org/iel5/36/27905/01245255.pdf,84
46,"HH Aumann, MT Chahine, C Gautier…","AIRS/AMSU/HSB on the Aqua mission: Design, science objectives, data products, and processing systems",1970,2003, ieeexplore.ieee.org, … and Remote Sensing,"… temperature soundings from space using the Satellite Infrared Radiation Spectrometer (SIRS). … 
The data processing system at JPL focuses on algorithm development and data-product …",https://ieeexplore.ieee.org/abstract/document/1196043/,https://ieeexplore.ieee.org/iel5/36/26903/01196043.pdf,82
32,"JW Waters, L Froidevaux, RS Harwood…",The earth observing system microwave limb sounder (EOS MLS) on the Aura satellite,1517,2006, ieeexplore.ieee.org, … and remote sensing,"… radiative effect, due to the low temperatures there, and exert enormous leverage on Earth’s 
radiative balance. Of … The geophysical data product output files also contain the estimated …",https://ieeexplore.ieee.org/abstract/document/1624589/,https://ieeexplore.ieee.org/iel5/36/34107/01624589.pdf,72
37,"W Lucht, CB Schaaf, AH Strahler",An algorithm for the retrieval of albedo from space using semiempirical BRDF models,1308,2002, ieeexplore.ieee.org, … Transactions on Geoscience …,"… and is a key influence on the surface energy balance [9]. … given in this paper when they 
make use of the data product. … and radiative vegetation modeling, and the coupling of satellite …",https://ieeexplore.ieee.org/abstract/document/841980/,https://ieeexplore.ieee.org/iel5/36/18212/00841980.pdf,52
33,"DJ Diner, JC Beckert, TH Reilly…",Multi-angle Imaging SpectroRadiometer (MISR) instrument description and experiment overview,1258,1998, ieeexplore.ieee.org, … and Remote Sensing,"… and data product validation, software development, and instrument operations. … radiation 
budget, and remote sensing of aerosol and cloud properties both from ground and satellite. …",https://ieeexplore.ieee.org/abstract/document/700992/,https://ieeexplore.ieee.org/iel4/36/15154/00700992.pdf,43
30,"Y Yamaguchi, AB Kahle, H Tsu…",Overview of advanced spaceborne thermal emission and reflection radiometer (ASTER),1171,1998, ieeexplore.ieee.org, … and remote sensing,"… use, surface energy balance, or local … data product is guaranteed, if all necessary inputs 
(eg, cloud-free Level 1 data, input for atmospheric correction, etc.) to generate the data product …",https://ieeexplore.ieee.org/abstract/document/700991/,https://ieeexplore.ieee.org/iel4/36/15154/00700991.pdf,40
35,"MD King, WP Menzel, YJ Kaufman…","Cloud and aerosol properties, precipitable water, and profiles of temperature and water vapor from MODIS",1160,2003, ieeexplore.ieee.org, … and Remote Sensing,"… 20 levels in the MOD07 data product; however, the integration … of satellite, aircraft, and 
ground-based cloud remote sensing, … remote sensing, radiative transfer, earth radiation budgets, …",https://ieeexplore.ieee.org/abstract/document/1196060/,https://ieeexplore.ieee.org/iel5/36/26903/01196060.pdf,48
24,CL Parkinson,Aqua: An Earth-observing satellite mission to examine water and other climate variables,601,2003, ieeexplore.ieee.org, IEEE Transactions on Geoscience and Remote …,"… in the mean radiative energy budget of the tropics [27] and evidence of a strengthening of the 
… Details of the data-product algorithms from the four US Science Teams can be found in the …",https://ieeexplore.ieee.org/abstract/document/1196036/,https://ieeexplore.ieee.org/iel5/36/26903/01196036.pdf,25
38,"C Cao, FJ De Luccia, X Xiong…",Early on-orbit performance of the visible infrared imaging radiometer suite onboard the Suomi National Polar-Orbiting Partnership (S-NPP) satellite,592,2013, ieeexplore.ieee.org, … and Remote Sensing,"… Energy System (CERES) are designed to measure atmospheric variables and the earth’s 
radiation budget. … Toward the end of this provisional period, the data product is considered …",https://ieeexplore.ieee.org/abstract/document/6522157/,https://ieeexplore.ieee.org/iel7/36/6680673/06522157.pdf,42
48,"S Tanelli, SL Durden, E Im, KS Pak…","CloudSat's cloud profiling radar after two years in orbit: Performance, calibration, and processing",432,2008, ieeexplore.ieee.org, … and Remote Sensing,"… and the surface clutter rejection algorithm introduced for the Release 04 data product. … 
CPR data are providing valuable information for studies of cloud physics, radiation budget, …",https://ieeexplore.ieee.org/abstract/document/4685947/,https://ieeexplore.ieee.org/iel5/36/4685926/04685947.pdf,23
21,"BA Wielicki, BR Barkstrom, BA Baum…",Clouds and the Earth's Radiant Energy System (CERES): algorithm overview,400,1998, ieeexplore.ieee.org, … and Remote Sensing,"… Radiation Budget Experiment (ERBE) record of radiative … then provide the most consistent 
data product with historical ERBE … surface radiation budget derived from international satellite …",https://ieeexplore.ieee.org/abstract/document/701020/,https://ieeexplore.ieee.org/iel4/36/15154/00701020.pdf,14
43,"D Entekhabi, EG Njoku, P Houser…",The hydrosphere state (Hydros) satellite mission: An earth system pathfinder for global mapping of soil moisture and land freeze/thaw,298,2004, ieeexplore.ieee.org, … and Remote Sensing,"… from these sensors are combined to produce a global 10-km soil moisture data product. The 
… [16] LD Hinzman, DL Kane, CS Benson, and KR Everett, “Energy balance and hydrological …",https://ieeexplore.ieee.org/abstract/document/1344170/,https://ieeexplore.ieee.org/iel5/36/29599/01344170.pdf,13
47,"GC Hulley, SJ Hook",Generating consistent land surface temperature and emissivity products between ASTER and MODIS data for earth science research,263,2010, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… surface-related studies, including surface radiation budget, land use, land cover change, … 
products from both sensors are intercompared by degrading the ASTER data product from 90 m …",https://ieeexplore.ieee.org/abstract/document/5582278/,https://ieeexplore.ieee.org/iel5/36/5738422/05582278.pdf,15
23,"K Nishida, RR Nemani, JM Glassy…",Development of an evapotranspiration index from Aqua/MODIS for monitoring surface moisture status,240,2003, ieeexplore.ieee.org, … and remote sensing,"… evaporation fraction, the energy budget equivalent of the ratio of … Satellite remote sensing is 
potentially a useful for landscape … data product we derive, called MOD16 in the MODIS Land …",https://ieeexplore.ieee.org/abstract/document/1196064/,https://ieeexplore.ieee.org/iel5/36/26903/01196064.pdf,10
15,"Y Qu, Q Liu, S Liang, L Wang, N Liu…",Direct-estimation algorithm for mapping daily land-surface broadband albedo from MODIS data,235,2013, ieeexplore.ieee.org, … Geoscience and Remote …,"… and atmospheric radiation budget (SARB) data product,” in Proc… remotely sensed data, 
retrieval of land surface biophysical parameters from satellite data, and geological remote sensing…",https://ieeexplore.ieee.org/abstract/document/6514500/,https://ieeexplore.ieee.org/iel7/36/6680673/06514500.pdf,17
34,"DK Hall, JR Key, KA Casey, GA Riggs…",Sea ice surface temperature product from MODIS,229,2004, ieeexplore.ieee.org, … and remote sensing,"… There are several different data product levels starting with Level 2 (L2). An L2 … radiative 
effect of clouds on the surface energy budget, polar meteorology, satellite remote sensing …",https://ieeexplore.ieee.org/abstract/document/1298977/,https://ieeexplore.ieee.org/iel5/36/28858/01298977.pdf,10
42,"DJ Diner, CJ Bruegge, JV Martonchik…",MISR: A multiangle imaging spectroradiometer for geophysical and climatological research from EOS,193,1989, ieeexplore.ieee.org, … and Remote Sensing,"… adversely, impact the Earth's energy budget and our environment. A … Definition of the MISR 
data product levels follows, to the … methods for satellite studies of the Earth's radiation budget: …",https://ieeexplore.ieee.org/abstract/document/20299/,https://ieeexplore.ieee.org/iel1/36/806/00020299.pdf,5
40,"MO Román, CK Gatebe, Y Shuai…",Use of in situ and airborne multiangle data to assess MODIS-and Landsat-based estimates of directional reflectance and albedo,138,2013, ieeexplore.ieee.org, … and Remote Sensing,"… This validation stage is a pre-requisite for any data product that is used for monitoring … land 
surface variables from satellite data, earth energy balance, and assessment of environmental …",https://ieeexplore.ieee.org/abstract/document/6461935/,https://ieeexplore.ieee.org/iel5/36/6469257/06461935.pdf,10
50,"A Wu, X Xiong, DR Doelling, D Morstad…","Characterization of Terra and Aqua MODIS VIS, NIR, and SWIR spectral bands' calibration stability",123,2012, ieeexplore.ieee.org, … and Remote Sensing,"… corrections for the next MODIS data product. These four vicarious … in the calibration of many 
satellite instruments, including … of the Geostationary Earth Radiation Budget Experiment and …",https://ieeexplore.ieee.org/abstract/document/6392937/,https://ieeexplore.ieee.org/iel5/36/4358825/06392937.pdf,8
36,"LA Magruder, CE Webb, TJ Urban…",ICESat altimetry data product verification at White Sands Space Harbor,85,2007, ieeexplore.ieee.org, … and Remote Sensing,"… Elevation Satellite (ICESat) mission altimetry data product … WSSH utilizes zenith-pointed 
sensors to detect the laser on … that is independent of the data product generation. The system of …",https://ieeexplore.ieee.org/abstract/document/4039625/,https://ieeexplore.ieee.org/iel5/36/4039606/04039625.pdf,4
11,"G Bisht, RL Bras",Estimation of net radiation from the Moderate Resolution Imaging Spectroradiometer over the continental United States,68,2011, ieeexplore.ieee.org, … Transactions on Geoscience and Remote …,"… satellite data in estimating the diurnal cycle of net radiation. … albedo values in the MCD43B3 
data product. During the entire … The surface energy budget plays a significant role in land–…",https://ieeexplore.ieee.org/abstract/document/5702358/,https://ieeexplore.ieee.org/iel5/36/4358825/05702358.pdf,4
27,"K Ogawa, T Schmugge…",Estimating broadband emissivity of arid regions and its seasonal variations using thermal infrared remote sensing,67,2008, ieeexplore.ieee.org, … Geoscience and Remote …,"… an important parameter for determining the surface radiation budget … These data are contained 
in the MODIS data product (… and energy balance simulations with use of satellite derived …",https://ieeexplore.ieee.org/abstract/document/4432714/,https://ieeexplore.ieee.org/iel5/36/4432701/04432714.pdf,4
29,"YA Liou, MS Le, H Chien",Normalized difference latent heat index for remote sensing of land surface energy fluxes,67,2018, ieeexplore.ieee.org, … on Geoscience and Remote Sensing,"… data product). The satellite scene without cloud in Chiayi, Taiwan, was taken by Landsat 8 
… This paper used the concept of surface energy and radiation balance of SEBAL model for …",https://ieeexplore.ieee.org/abstract/document/8464042/,https://ieeexplore.ieee.org/iel7/36/8651575/08464042.pdf,7
1,"D Wang, S Liang, T He, Q Shi",Estimation of daily surface shortwave net radiation from the combined MODIS data,54,2015, ieeexplore.ieee.org, … Transactions on Geoscience …,"… Energy System clouds and radiation swath data product,” J. … interest includes remote sensing 
of surface radiation budget, … surface variables from satellite data, Earth energy balance, and …",https://ieeexplore.ieee.org/abstract/document/7105891/,https://ieeexplore.ieee.org/iel7/36/7121063/07105891.pdf,4
19,"T He, S Liang, D Wang, Y Shuai…",Fusion of satellite land surface albedo products across scales using a multiresolution tree method in the north central United States,50,2013, ieeexplore.ieee.org, … Geoscience and Remote …,"… radiation budget. The errors of satellite albedo products may arise from issues such as … 
the earth’s radiant energy system clouds and radiation swath data product,” J. Geophys. Res.–…",https://ieeexplore.ieee.org/abstract/document/6568884/,https://ieeexplore.ieee.org/iel7/36/4358825/06568884.pdf,4
12,"Z Xiao, S Liang, J Wang, D Xie, J Song…","A framework for consistent estimation of leaf area index, fraction of absorbed photosynthetically active radiation, and surface albedo from MODIS time-series data",40,2014, ieeexplore.ieee.org, … and Remote Sensing,"… surface and atmospheric radiation budget (SARB) data product,” in Proc. 12th Conf. Atmos. 
… of land surface variables from satellite data, Earth energy balance, and assessment of …",https://ieeexplore.ieee.org/abstract/document/6991581/,https://ieeexplore.ieee.org/iel7/36/4358825/06991581.pdf,3
6,"T Wong, GL Smith, S Kato, NG Loeb…",On the lessons learned from the operations of the ERBE nonscanner instrument in space and the production of the nonscanner TOA radiation budget data set,33,2018, ieeexplore.ieee.org, … and Remote Sensing,"… satellite platforms. The use of such instruments for monitoring Earth’s radiation budget was 
attempted in the past from satellite … (10) averaged scientific data product using the ERBE …",https://ieeexplore.ieee.org/abstract/document/8360766/,https://ieeexplore.ieee.org/iel7/36/8472225/08360766.pdf,4
20,"P Gupta, F Patadia…",Multisensor data product fusion for aerosol research,33,2008, ieeexplore.ieee.org, … transactions on geoscience …,"… fundamental data product from satellite sensors are geo-referenced calibrated radiances at 
the sensors’ … of the role of aerosols on the energy balance of the Earth–atmosphere system. …",https://ieeexplore.ieee.org/abstract/document/4490058/,https://ieeexplore.ieee.org/iel5/36/4490048/04490058.pdf,2
31,"MZ Hakuba, GL Stephens, B Christophe…",Earth's energy imbalance measured from space,30,2018, ieeexplore.ieee.org, … and Remote Sensing,"… the individual radiative components of the energy balance with … This adjusted, energy-balanced 
data product is widely used … the satellite spin used to equalize the satellite temperature …",https://ieeexplore.ieee.org/abstract/document/8428424/,https://ieeexplore.ieee.org/iel7/36/8587258/08428424.pdf,3
